#code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
001192|modelVersionNumber|table|MODEL VERSION NUMBER|CODE TABLE|0|0|8|NA|0|0
001193|sigma0SimulationMethod|table|SIGMA_0 SIMULATION METHOD|CODE TABLE|0|0|4|NA|0|0
001194|carrierBalloonOrAircraftIdentifier|string|CARRIER BALLOON/AIRCRAFT IDENTIFIER|CCITT IA5|0|0|72|NA|0|0
001195|mobileLandStationIdentifier|string|MOBIL LAND STATION IDENTIFIER|CCITT IA5|0|0|72|NA|0|0
001196|constantLevelBalloonIdentifier|string|CONSTANT LEVEL BALLOON IDENTIFIER|CCITT IA5|0|0|72|NA|0|0
001197|rtpPlatformType|table|RTP - PLATFORM TYPE|CODE TABLE|0|0|10|NA|0|0
001198|itpDeckId|table|ITP - DECK ID|CODE TABLE|0|0|10|NA|0|0
001199|dupDuplicateStatus|table|DUP - DUPLICATE STATUS|CODE TABLE|0|0|4|NA|0|0
001201|generatingApplication|table|GENERATING APPLICATION|CODE TABLE|0|0|8|NA|0|0
001205|satelliteIdentifier|table|SATELLITE IDENTIFIER|CODE TABLE|0|0|10|NA|0|0
001208|velocityOfPlatformX|double|VELOCITY OF PLATFORM, X|m/s|5|-1073741824|31|NA|0|0
001209|velocityOfPlatformY|double|VELOCITY OF PLATFORM, Y|m/s|5|-1073741824|31|NA|0|0
001210|velocityOfPlatformZ|double|VELOCITY OF PLATFORM, Z|m/s|5|-1073741824|31|NA|0|0
001211|originOfSeaSurfaceAnalysis|string|ORIGIN OF SEA SURFACE ANALYSIS|CCITT IA5|0|0|160|Character|0|20
001220|radarCompositeName|string|RADAR COMPOSITE NAME|CCITT IA5|0|0|160|Character|0|20
002192|sarAzimuthAngle|long|SAR AZIMUTH ANGLE|deg|0|0|9|NA|0|0
002193|1dVarSatelliteChannelSUsed|flag|1D VAR SATELLITE CHANNEL(S) USED|FLAG TABLE|0|0|28|NA|0|0
002194|constantLevelBalloonType|table|CONSTANT LEVEL BALLOON TYPE|CODE TABLE|0|0|4|NA|0|0
002195|typeOfSatelliteInstrumentation|table|TYPE OF SATELLITE INSTRUMENTATION|CODE TABLE|0|0|4|NA|0|0
002196|satelliteClassification|table|SATELLITE CLASSIFICATION|CODE TABLE|0|0|9|NA|0|0
002197|satelliteChannelCentreFrequency|long|SATELLITE CHANNEL CENTRE FREQUENCY|Hz|-8|0|26|NA|0|0
002198|satelliteChannelBandWidth|long|SATELLITE CHANNEL BAND WIDTH|Hz|-8|0|26|NA|0|0
002199|meanHumidityComputationalMethod|table|INTEGRATED MEAN HUMIDITY COMPUTATIONAL METHOD|CODE TABLE|0|0|4|NA|0|0
002201|simulatedSatelliteInstrument|flag|SIMULATED SATELLITE INSTRUMENT|FLAG TABLE|0|0|4|NA|0|0
002202|simulatedDataProcessingTechniqueUsed|flag|SIMULATED DATA PROCESSING TECHNIQUE USED|FLAG TABLE|0|0|4|NA|0|0
002205|latitudinalResolution|double|LATITUDINAL RESOLUTION|deg|3|0|9|NA|0|0
002206|longitudinalResolution|double|LONGITUDINAL RESOLUTION|deg|3|0|9|NA|0|0
002207|typeOfScan|table|TYPE OF SCAN|CODE TABLE|0|0|3|NA|0|0
002220|dataProducer|table|DATA PRODUCER|CODE TABLE|0|0|9|NA|0|0
002221|segmentSizeAtNadirInXDirection|long|SEGMENT SIZE AT NADIR IN X DIRECTION|m|0|0|18|NA|0|0
002222|segmentSizeAtNadirInYDirection|long|SEGMENT SIZE AT NADIR IN Y DIRECTION|m|0|0|18|NA|0|0
002223|tovsOrAtovsOrAvhrrChannelNumber|table|TOVS/ATOVS/AVHRR CHANNEL NUMBER|CODE TABLE|0|0|6|NA|0|0
002231|heightAssignmentMethod|table|HEIGHT ASSIGNMENT METHOD|CODE TABLE|0|0|4|NA|0|0
002232|tracerCorrelationMethod|table|TRACER CORRELATION METHOD|CODE TABLE|0|0|3|NA|0|0
002240|typeOfThermodynamicSensing|table|TYPE OF TERMODYNAMIC SENSING|CODE TABLE|0|0|8|NA|0|0
002241|typeOfRocketMotor|table|TYPE OF ROCKET MOTOR|CODE TABLE|0|0|3|NA|0|0
002242|typeOfWindSensingEquipment|table|TYPE OF WIND SENSING EQUIPMENT|CODE TABLE|0|0|8|NA|0|0
002243|thermodynamicCorrectionTechnique|table|TERMODYNAMIC CORRECTION TECHNIQUE|CODE TABLE|0|0|3|NA|0|0
002244|windCorrectionTechnique|table|WIND CORRECTION TECHNIQUE|CODE TABLE|0|0|3|NA|0|0
002245|methodOfReducingOfData|table|METHOD OF REDUCING OF DATA|CODE TABLE|0|0|4|NA|0|0
002251|radianceComputationalMethod|table|RADIANCE COMPUTATIONAL METHOD|CODE TABLE|0|0|4|NA|0|0
002252|satelliteInstrumentDataUsedInProcessing|flag|SATELLITE INSTRUMENT DATA USED IN PROCESSING|FLAG TABLE|0|0|31|NA|0|0
002253|humidityComputationalMethod|table|HUMIDITY COMPUTATIONAL METHOD|CODE TABLE|0|0|8|NA|0|0
002254|radianceType|table|RADIANCE TYPE|CODE TABLE|0|0|4|NA|0|0
005193|alongTrackRowNumberAt50Km|long|ALONG TRACK ROW NUMBER AT 50 KM|Numeric|0|0|10|Numeric|0|4
005194|alongTrackRowNumberAt25Km|long|ALONG TRACK ROW NUMBER AT 25 KM|Numeric|0|0|11|Numeric|0|4
005195|ensembleMemberNumber|long|ENSEMBLE MEMBER NUMBER|Numeric|0|0|7|Numeric|0|3
005196|scanAngle|double|SCAN ANGLE|deg|1|-1800|12|deg|1|4
005217|locationOfPlatformX|double|LOCATION OF PLATFORM, X|m|2|-1073741824|31|m|2|10
005232|directionSpectral|double|DIRECTION (SPECTRAL)|deg|2|0|16|deg|2|5
006193|crossTrackCellNumberAt50Km|long|CROSS TRACK CELL NUMBER AT 50 KM|Numeric|0|0|6|Numeric|0|2
006194|crossTrackCellNumberAt25Km|long|CROSS TRACK CELL NUMBER AT 25 KM|Numeric|0|0|7|Numeric|0|3
006217|locationOfPlatformY|double|LOCATION OF PLATFORM, Y|m|2|-1073741824|31|m|2|10
006232|waveNumberSpectral|double|WAVENUMBER (SPECTRAL)|rad/m|5|0|13|ADS m-1|5|4
007217|locationOfPlatformZ|double|LOCATION OF PLATFORM, Z|m|2|-1073741824|31|m|2|10
008193|timeQualifier|table|TIME QUALIFIER|CODE TABLE|0|0|6|CODE TABLE|0|2
008194|tovsOrAtovsProductQualifier|table|TOVS/ATOVS PRODUCT QUALIFIER|CODE TABLE|0|0|4|CODE TABLE|0|2
008195|dataType|table|DATA TYPE|CODE TABLE|0|0|7|CODE TABLE|0|3
008200|numberOfObservations|long|NUMBER OF OBSERVATIONS|Numeric|0|0|8|Numeric|0|3
008222|generatorSignificance|table|GENERATOR SIGNIFICANCE|CODE TABLE|0|0|4|CODE TABLE|0|2
008223|landOrIceSurfaceFlag|flag|LAND/ICE SURFACE FLAG|FLAG TABLE|0|0|7|FLAG TABLE|0|3
008224|landOrSeaFraction|long|LAND/SEA FRACTION|Numeric|3|0|10|Numeric|3|4
008225|ghrsstSurfaceType|flag|GHRSST SURFACE TYPE|FLAG TABLE|0|0|5|FLAG TABLE|0|2
010195|nonCoordinateHeight|double|HEIGHT(HIGH ACCURACY)|m|1|-4096|20|NA|0|0
010196|solarZenithAngle|double|SOLAR ZENITH ANGLE|deg|2|-9000|15|NA|0|0
010197|anemometerHeight|long|ANEMOMETER HEIGHT|m|0|0|9|NA|0|0
010200|surfacePressureSpGrib|long|SURFACE PRESSURE ( SP GRIB )|Pa|-1|0|14|NA|0|0
011192|uAt10M|double|U - COMPONENT AT 10 M|m/s|1|-4096|13|m/s|1|4
011193|vAt10M|double|V - COMPONENT AT 10 M|m/s|1|-4096|13|m/s|1|4
011194|wAt10M|double|W - COMPONENT AT 10 M|m/s|1|-4096|13|m/s|1|4
011195|steadinessOfWind|long|STEADINESS OF WIND|%|0|0|7|%|0|3
011196|frictionVelocity|double|FRICTION VELOCITY|m/s|5|0|19|NA|0|0
011201|horizontalLineOfSightComponent|double|HORIZONTAL LINE OF SIGHT COMPONENT|m/s|1|-4096|13|NA|0|0
011210|1dVarWindSpeedRetreivedError|double|1D VAR WIND SPEED RETREIVED ERRO(S)|m/s|2|0|12|NA|0|0
011211|windSpeedIndependentEstimateOfError|double|WIND SPEED INDEPENDENT ESTIMATE OF ERROR(S)|m/s|2|0|12|NA|0|0
011220|formalUncertaintyInWindSpeed|double|FORMAL UNCERTAINTY IN WIND SPEED|m/s|2|0|12|NA|0|0
011221|formalUncertaintyInWindDirection|double|FORMAL UNCERTAINTY IN WIND DIRECTION|deg|2|0|15|NA|0|0
011230|maximumMeanWindSpeed|double|MAXIMUM MEAN WIND SPEED|m/s|1|-4096|13|m/s|1|4
011231|meanWindSpeed|double|MEAN WIND SPEED|m/s|1|-4096|13|m/s|1|4
011232|minimumMeanWindSpeed|double|MINIMUM MEAN WIND SPEED|m/s|1|-4096|13|m/s|1|4
011233|highestGustDuringThe10MinutePeriodPrecedingObservation|double|HIGHEST GUST DURING THE 10 MINUTE PERIOD PRECEDING OBSERVATION|m/s|1|-4096|13|m/s|1|4
012193|coldestClusterTemperature|double|COLDEST CLUSTER TEMPERATURE|K|1|0|12|NA|0|0
012194|radiance|double|RADIANCE|W m-2 sr-1 m|6|0|31|NA|0|0
012195|spectralRadiance|double|SPECTRAL RADIANCE|W m-2 sr-1 m|10|0|31|NA|0|0
012196|radiance|double|RADIANCE|W m-2 sr-1|3|0|16|NA|0|0
012197|maximumTemperatureAt2mPast3Hours|double|MAXIMUM TEMPERATURE AT 2M, PAST 3 HOURS|K|1|0|12|NA|0|0
012198|minimumTemperatureAt2mPast3Hours|double|MINIMUM TEMPERATURE AT 2M, PAST 3 HOURS|K|1|0|12|NA|0|0
012199|maximumTemperatureAt2mPast6Hours|double|MAXIMUM TEMPERATURE AT 2M, PAST 6 HOURS|K|1|0|12|NA|0|0
012200|minimumTemperatureAt2mPast6Hours|double|MINIMUM TEMPERATURE AT 2M, PAST 6 HOURS|K|1|0|12|NA|0|0
012201|brightnessTemperatureOrStokesParameter|double|BRIGHTNES TEMPERATURE OR STOKES PARAMETER|K|3|-271300|20|NA|0|0
012211|soilTemperatureLevel1Stl1Grib|double|SOIL TEMPERATURE LEVEL 1 ( STL1 GRIB)|K|2|0|16|NA|0|0
012212|soilTemperatureLevel2Stl2Grib|double|SOIL TEMPERATURE LEVEL 2 ( STL2 GRIB)|K|2|0|16|NA|0|0
012213|soilTemperatureLevel3Stl3Grib|double|SOIL TEMPERATURE LEVEL 3 ( STL3 GRIB)|K|2|0|16|NA|0|0
012214|soilTemperatureLevel4Stl4Grib|double|SOIL TEMPERATURE LEVEL 4 ( STL4 GRIB)|K|2|0|16|NA|0|0
013192|relativeHumidityAt2M|long|RELATIVE HUMIDITY AT 2 M|%|0|0|8|NA|0|0
013193|relativeHumidity|long|RELATIVE HUMIDITY|%|0|0|8|NA|0|0
013194|totalColumnWater|double|TOTAL COLUMN WATER|kg m-2|2|0|11|NA|0|0
013195|rainRate|long|RAIN RATE|kg m-2 h-1|0|0|5|NA|0|0
013196|antecedentPrecipitationIndex|long|ANTECEDENT PRECIPITATION INDEX|kg m-2|0|0|7|NA|0|0
013197|totalColumnWaterVapour|double|TOTAL COLUMN WATER VAPOUR|kg m-2|1|0|10|NA|0|0
013198|rainFlag|table|RAIN FLAG|CODE TABLE|0|0|3|NA|0|0
013199|specificHumidityAt2M|double|SPECIFIC HUMIDITY AT 2 M|kg/kg|5|0|14|NA|0|0
013201|cloudLiquidWater|double|CLOUD LIQUID WATER|kg/kg|7|0|14|NA|0|0
013202|typeOfSurface|table|TYPE OF SURFACE|CODE TABLE|0|0|8|NA|0|0
013203|1dVarEstimateOfRainRate|double|1D VAR ESTIMATE OF RAIN RATE|kg m-2 h-1|2|0|12|NA|0|0
013204|ssmiIndependentEstimateOfRainRate|double|SSMI INDEPENDENT ESTIMATE OF RAIN RATE|kg m-2 h-1|2|0|12|NA|0|0
013205|cloudLiquidWaterPath|double|CLOUD LIQUID WATER PATH|kg m-2|4|0|14|NA|0|0
013206|totalPrecipitationIceContent|double|TOTAL PRECIPITATION ICE CONTENT|kg m-2|6|0|14|NA|0|0
013207|totalCloudLiquidWater|double|TOTAL CLOUD LIQUID WATER|kg m-2|6|0|14|NA|0|0
013208|surfaceRainRateInstantaneous|double|SURFACE RAIN RATE ( INSTANTANEOUS )|kg m-2 s-1|5|0|17|NA|0|0
