# This file was automatically generated by ./param.pl
1 sppt1 Random pattern 1 for sppt (dimensionless)
2 sppt2 Random pattern 2 for sppt (dimensionless)
3 sppt3 Random pattern 3 for sppt (dimensionless)
4 sppt4 Random pattern 4 for sppt (dimensionless)
5 sppt5 Random pattern 5 for sppt (dimensionless)
101 spp1 Random pattern 1 for SPP scheme (dimensionless)
102 spp2 Random pattern 2 for SPP scheme (dimensionless)
103 spp3 Random pattern 3 for SPP scheme (dimensionless)
104 spp4 Random pattern 4 for SPP scheme (dimensionless)
105 spp5 Random pattern 5 for SPP scheme (dimensionless)
106 spp6 Random pattern 6 for SPP scheme (dimensionless)
107 spp7 Random pattern 7 for SPP scheme (dimensionless)
108 spp8 Random pattern 8 for SPP scheme (dimensionless)
109 spp9 Random pattern 9 for SPP scheme (dimensionless)
110 spp10 Random pattern 10 for SPP scheme (dimensionless)
111 spp11 Random pattern 11 for SPP scheme (dimensionless)
112 spp12 Random pattern 12 for SPP scheme (dimensionless)
113 spp13 Random pattern 13 for SPP scheme (dimensionless)
114 spp14 Random pattern 14 for SPP scheme (dimensionless)
115 spp15 Random pattern 15 for SPP scheme (dimensionless)
116 spp16 Random pattern 16 for SPP scheme (dimensionless)
117 spp17 Random pattern 17 for SPP scheme (dimensionless)
118 spp18 Random pattern 18 for SPP scheme (dimensionless)
119 spp19 Random pattern 19 for SPP scheme (dimensionless)
120 spp20 Random pattern 20 for SPP scheme (dimensionless)
121 spp21 Random pattern 21 for SPP scheme (dimensionless)
122 spp22 Random pattern 22 for SPP scheme (dimensionless)
123 spp23 Random pattern 23 for SPP scheme (dimensionless)
124 spp24 Random pattern 24 for SPP scheme (dimensionless)
125 spp25 Random pattern 25 for SPP scheme (dimensionless)
126 spp26 Random pattern 26 for SPP scheme (dimensionless)
127 spp27 Random pattern 27 for SPP scheme (dimensionless)
128 spp28 Random pattern 28 for SPP scheme (dimensionless)
129 spp29 Random pattern 29 for SPP scheme (dimensionless)
130 spp30 Random pattern 30 for SPP scheme (dimensionless)
131 spp31 Random pattern 31 for SPP scheme (dimensionless)
132 spp32 Random pattern 32 for SPP scheme (dimensionless)
133 spp33 Random pattern 33 for SPP scheme (dimensionless)
134 spp34 Random pattern 34 for SPP scheme (dimensionless)
135 spp35 Random pattern 35 for SPP scheme (dimensionless)
136 spp36 Random pattern 36 for SPP scheme (dimensionless)
137 spp37 Random pattern 37 for SPP scheme (dimensionless)
138 spp38 Random pattern 38 for SPP scheme (dimensionless)
139 spp39 Random pattern 39 for SPP scheme (dimensionless)
140 spp40 Random pattern 40 for SPP scheme (dimensionless)
141 spp41 Random pattern 41 for SPP scheme (dimensionless)
142 spp42 Random pattern 42 for SPP scheme (dimensionless)
143 spp43 Random pattern 43 for SPP scheme (dimensionless)
144 spp44 Random pattern 44 for SPP scheme (dimensionless)
145 spp45 Random pattern 45 for SPP scheme (dimensionless)
146 spp46 Random pattern 46 for SPP scheme (dimensionless)
147 spp47 Random pattern 47 for SPP scheme (dimensionless)
148 spp48 Random pattern 48 for SPP scheme (dimensionless)
149 spp49 Random pattern 49 for SPP scheme (dimensionless)
150 spp50 Random pattern 50 for SPP scheme (dimensionless)
