start,end
236,186
236,84
236,62
236,142
236,252
236,169
236,280
236,257
236,297
236,303
236,105
236,276
236,272
236,88
236,271
236,13
236,69
236,133
236,30
236,121
236,21
236,26
236,304
236,122
236,224
236,314
236,315
236,213
236,67
236,318
236,322
236,141
236,25
236,1
236,200
236,248
186,88
186,213
186,341
186,272
186,25
186,109
186,55
186,199
186,223
186,178
186,345
186,9
186,277
186,325
186,67
186,59
186,123
186,203
186,45
186,104
186,62
186,285
186,200
186,170
186,21
186,128
186,221
186,252
186,239
186,322
186,188
186,323
186,142
186,222
186,56
186,26
186,98
186,331
186,303
186,122
186,113
186,271
122,285
122,322
122,345
122,323
122,200
122,5
122,248
122,141
122,274
122,276
122,284
122,98
122,224
122,142
122,3
122,128
122,119
122,45
122,26
122,56
122,239
122,280
122,123
122,136
122,31
122,169
122,156
122,203
122,261
122,25
122,55
122,303
122,304
122,213
122,252
122,332
122,104
122,272
122,170
122,325
122,342
122,161
122,344
122,235
122,188
122,271
122,62
122,21
122,109
122,277
122,176
122,113
122,297
122,315
122,251
122,9
122,66
122,232
122,67
122,281
285,103
285,232
285,146
285,246
285,188
285,136
285,200
285,271
285,60
285,213
285,98
285,170
285,323
285,208
285,119
285,315
285,313
285,345
285,272
285,142
285,221
285,164
285,117
285,277
285,303
285,203
285,185
285,196
285,211
285,304
285,9
285,109
285,25
285,252
285,56
285,342
285,261
285,10
285,67
285,322
285,113
285,26
285,239
285,332
24,346
24,302
24,53
24,80
24,187
24,249
24,299
24,92
24,266
24,180
24,194
24,94
24,101
24,57
24,242
346,53
346,1
346,92
346,272
346,184
346,194
346,94
346,204
346,299
346,320
346,196
346,101
346,127
346,300
346,187
346,130
346,249
346,254
346,302
346,80
346,57
346,242
346,180
346,330
346,266
271,304
271,169
271,82
271,252
271,188
271,185
271,277
271,98
271,261
271,30
271,232
271,203
271,133
271,79
271,59
271,21
271,103
271,172
271,332
271,142
271,119
271,25
271,113
271,223
271,128
271,85
271,276
271,322
271,40
271,26
271,141
271,331
271,272
271,170
271,67
271,161
271,200
271,199
271,176
271,298
271,313
271,239
271,211
271,297
271,325
271,265
271,109
271,9
271,224
271,315
271,342
271,13
271,118
271,280
271,323
271,268
271,314
271,290
271,148
271,291
271,48
271,318
271,104
271,238
271,212
271,72
271,56
271,63
304,199
304,30
304,168
304,249
304,325
304,158
304,212
304,322
304,21
304,324
304,308
304,172
304,170
304,188
304,161
304,9
304,272
304,280
304,224
304,203
304,109
304,257
304,69
304,334
304,136
304,98
304,141
304,26
304,75
304,134
304,56
304,67
304,239
304,40
304,200
304,118
304,341
304,113
304,332
304,66
304,277
304,252
304,211
304,7
304,347
304,84
304,13
304,246
304,31
304,315
176,9
176,170
176,85
176,128
176,290
176,25
176,239
176,119
176,26
176,148
176,188
9,128
9,105
9,252
9,203
9,322
9,323
9,258
9,75
9,26
9,276
9,231
9,21
9,341
9,67
9,30
9,272
9,56
9,142
9,334
9,297
9,85
9,199
9,280
9,161
9,200
9,119
9,156
9,66
9,188
9,224
9,170
9,342
9,295
9,113
9,79
9,232
9,72
9,169
9,134
9,25
9,329
9,315
9,277
9,148
9,69
9,185
9,141
9,3
9,133
9,291
130,329
130,48
130,300
130,322
130,204
130,73
130,88
130,25
130,257
130,53
130,62
130,191
130,213
130,277
329,324
329,291
329,332
329,184
329,269
329,119
329,272
329,150
329,197
329,54
329,106
329,30
329,40
329,204
329,315
329,322
329,16
329,27
329,308
329,202
329,320
329,172
329,178
329,284
329,280
329,72
329,231
204,213
204,196
204,5
204,94
204,92
204,242
204,53
204,194
204,249
204,266
204,57
204,330
204,101
204,80
204,254
204,180
204,302
204,277
213,57
213,249
213,7
213,340
213,40
213,315
213,291
213,87
213,178
213,246
213,345
213,272
213,324
213,96
213,53
213,224
213,128
213,67
213,277
213,161
213,308
213,30
213,5
213,332
213,136
213,231
213,322
213,80
213,239
213,242
213,56
213,303
252,332
252,334
252,291
252,26
252,248
252,338
252,239
252,72
252,56
252,109
252,134
252,250
252,113
252,119
252,161
252,325
252,29
252,200
252,13
252,172
252,65
252,280
252,25
252,103
252,59
252,123
252,322
252,67
252,82
252,265
252,128
252,315
252,199
252,297
252,313
252,212
252,324
252,79
252,98
252,277
252,308
252,66
252,272
252,31
252,223
252,118
252,188
252,104
252,345
252,142
252,169
252,21
252,261
252,55
252,342
252,238
252,170
332,203
332,248
332,13
332,104
332,98
332,40
332,38
332,25
332,119
332,67
332,291
332,280
332,158
332,56
332,331
332,21
332,277
332,324
332,53
332,224
332,208
332,200
332,77
332,16
332,169
332,170
332,231
332,323
332,109
332,10
332,26
332,172
332,142
332,48
332,106
82,65
82,169
82,231
82,211
82,238
82,203
82,331
82,158
82,118
82,56
82,84
82,148
82,13
82,119
82,314
82,170
82,199
82,59
82,261
82,121
82,172
82,268
82,313
82,123
82,98
82,325
82,67
82,16
82,29
82,222
82,318
65,314
65,261
65,203
65,7
65,118
65,297
65,25
65,339
65,13
276,26
276,25
276,239
276,62
276,98
276,200
276,322
276,224
276,56
276,232
276,141
276,133
276,84
26,277
26,56
26,297
26,134
26,3
26,334
26,109
26,257
26,21
26,158
26,199
26,313
26,118
26,265
26,203
26,72
26,308
26,232
26,248
26,128
26,69
26,113
26,239
26,161
26,169
26,104
26,188
26,325
26,315
26,55
26,67
26,119
26,40
26,298
26,200
26,123
26,295
26,98
26,79
26,280
26,141
26,291
26,170
26,133
26,322
26,62
26,172
26,224
26,185
26,13
26,212
26,223
26,66
26,25
26,142
26,323
280,272
280,1
280,291
280,3
280,141
280,98
280,188
280,121
280,231
