name,arraysize,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
simdobjsort<Point3D<double-x>>,100,382217,1819.6,1824.99,ns,,,,,
simdobjsort<Point3D<double-x>>,128,368108,1895.32,1901.11,ns,,,,,
simdobjsort<Point3D<double-x>>,256,197322,3518.1,3529.06,ns,,,,,
simdobjsort<Point3D<double-x>>,512,117600,5941.53,5948.53,ns,,,,,
simdobjsort<Point3D<double-x>>,1024,56791,12331.3,12340.3,ns,,,,,
simdobjsort<Point3D<double-x>>,2048,26808,26095.4,26103.1,ns,,,,,
simdobjsort<Point3D<double-x>>,4096,12933,54079.6,54093.3,ns,,,,,
simdobjsort<Point3D<double-x>>,8192,6054,115881,115917,ns,,,,,
simdobjsort<Point3D<double-x>>,16384,2695,259241,259326,ns,,,,,
simdobjsort<Point3D<double-x>>,32768,1154,603937,603999,ns,,,,,
simdobjsort<Point3D<double-x>>,65536,466,1.49874e+06,1.49882e+06,ns,,,,,
simdobjsort<Point3D<double-x>>,131072,193,3.61935e+06,3.6191e+06,ns,,,,,
simdobjsort<Point3D<double-x>>,262144,76,9.13108e+06,9.1307e+06,ns,,,,,
simdobjsort<Point3D<double-x>>,524288,32,2.17541e+07,2.17517e+07,ns,,,,,
simdobjsort<Point3D<double-x>>,1048576,12,5.1583e+07,5.15773e+07,ns,,,,,
simdobjsort<Point3D<double-x>>,2097152,5,1.37925e+08,1.3791e+08,ns,,,,,
simdobjsort<Point3D<double-x>>,4194304,2,3.95464e+08,3.95407e+08,ns,,,,,
simdobjsort<Point3D<double-x>>,8388608,1,9.6769e+08,9.67592e+08,ns,,,,,
simdobjsort<Point3D<double-x>>,16777216,1,2.18969e+09,2.18947e+09,ns,,,,,
simdobjsort<Point3D<double-x>>,33554432,1,4.76427e+09,4.76369e+09,ns,,,,,
simdobjsort<Point3D<double-x>>,67108864,1,1.01007e+10,1.00981e+10,ns,,,,,
simdobjsort<Point3D<double-x>>,100000000,1,1.55276e+10,1.55238e+10,ns,,,,,
scalarobjsort<Point3D<double-x>>,100,448635,1557.75,1558.93,ns,,,,,
scalarobjsort<Point3D<double-x>>,128,375872,1846.33,1848.35,ns,,,,,
