# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
abs;(int x);int;407
abs;(real x);real;407
abs;(T x);R;398
acosh;(T x);R;413
acos;(T x);R;412
append_col;(matrix x, matrix y);matrix;442
append_col;(matrix x, vector y);matrix;442
append_col;(real x, row_vector y);row_vector;443
append_col;(row_vector x, real y);row_vector;443
append_col;(row_vector x, row_vector y);row_vector;443
append_col;(vector x, matrix y);matrix;443
append_col;(vector x, vector y);matrix;443
append_row;(matrix x, matrix y);matrix;443
append_row;(matrix x, row_vector y);matrix;443
append_row;(real x, vector y);vector;443
append_row;(row_vector x, matrix y);matrix;443
append_row;(row_vector x, row_vector y);matrix;443
append_row;(vector x, real y);vector;443
append_row;(vector x, vector y);vector;443
asinh;(T x);R;413
asin;(T x);R;412
atan2;(real x, real y);real;412
atanh;(T x);R;413
atan;(T x);R;412
bernoulli_cdf;(ints y, reals theta);real;466
bernoulli_lccdf;(ints y \textbar \ reals theta);real;466
bernoulli_lcdf;(ints y \textbar \ reals theta);real;466
bernoulli_logit_lpmf;(ints y \textbar \ reals alpha);real;467
bernoulli_logit;~;real;467
bernoulli_logit_rng;(real alpha);int;467
bernoulli_lpmf;(ints y \textbar \ reals theta);real;466
bernoulli;~;real;466
bernoulli_rng;(real theta);int;466
bessel_first_kind;(int v, real x);real;418
bessel_second_kind;(int v, real x);real;418
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;470
beta_binomial_lccdf;(ints n \textbar \ ints N, reals alpha, reals beta);real;471
beta_binomial_lcdf;(ints n \textbar \ ints N, reals alpha, reals beta);real;470
beta_binomial_lpmf;(ints n \textbar \ ints N, reals alpha, reals beta);real;470
beta_binomial;~;real;470
beta_binomial_rng;(int N, real alpha, real beta);int;471
beta_cdf;(reals theta, reals alpha, reals beta);real;501
beta_lccdf;(reals theta \textbar \ reals alpha, reals beta);real;501
beta_lcdf;(reals theta \textbar \ reals alpha, reals beta);real;501
beta_lpdf;(reals theta \textbar \ reals alpha, reals beta);real;501
beta;~;real;501
beta_rng;(real alpha, real beta);real;502
binary_log_loss;(int y, real y_hat);real;415
binomial_cdf;(ints n, ints N, reals theta);real;468
binomial_coefficient_log;(real x, real y);real;418
binomial_lccdf;(ints n \textbar \ ints N, reals theta);real;469
binomial_lcdf;(ints n \textbar \ ints N, reals theta);real;469
binomial_logit_lpmf;(ints n \textbar \ ints N, reals alpha);real;470
binomial_logit;~;real;469
binomial_lpmf;(ints n \textbar \ ints N, reals theta);real;468
binomial;~;real;468
binomial_rng;(int N, real theta);int;469
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;441
categorical_logit_lpmf;(ints y \textbar \ vector beta);real;472
categorical_logit;~;real;472
categorical_lpmf;(ints y \textbar \ vector theta);real;472
categorical;~;real;472
categorical_rng;(vector theta);int;472
cauchy_cdf;(reals y, reals mu, reals sigma);real;485
cauchy_lccdf;(reals y \textbar \ reals mu, reals sigma);real;485
cauchy_lcdf;(reals y \textbar \ reals mu, reals sigma);real;485
cauchy_lpdf;(reals y \textbar \ reals mu, reals sigma);real;485
cauchy;~;real;485
cauchy_rng;(real mu, real sigma);real;485
cbrt;(T x);R;409
ceil;(T x);R;409
chi_square_cdf;(reals y, reals nu);real;490
chi_square_lccdf;(reals y \textbar \ reals nu);real;490
chi_square_lcdf;(reals y \textbar \ reals nu);real;490
chi_square_lpdf;(reals y \textbar \ reals nu);real;490
chi_square;~;real;490
chi_square_rng;(real nu);real;490
cholesky_decompose;(matrix A);matrix;449
choose;(int x, int y);int;418
col;(matrix x, int n);vector;441
