ydb/apps/ydb/ut YdbWorkloadTransferTopicToTable.Default_Run # owner TEAM:@ydb-platform/appteam success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-14, f-0,m-2, s-0, runs-16, state Muted Stable(07-19)->Muted Flaky(07-21)
ydb/core/blobstorage/dsproxy/ut TBlobStorageProxySequenceTest.TestBlock42PutWithChangingSlowDisk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/dsproxy/ut_fat TBlobStorageProxyTest.TestBatchedPutRequestDoesNotContainAHugeBlob # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/pdisk/ut TPDiskTest.FailedToFormatDiskInfoUpdate # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-5, f-0,m-5, s-0, runs-10, state Muted Flaky
ydb/core/blobstorage/pdisk/ut TPDiskTest.PDiskSlotSizeInUnits # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-5, f-0,m-5, s-0, runs-10, state Muted Flaky
ydb/core/blobstorage/ut_blobstorage GroupReconfiguration.BsControllerDoesNotDisableGroupNoRequestsToNodesWVDisks # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-1, s-0, runs-10, state Muted Stable(07-19)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage NodeDisconnected.BsQueueRetries # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-2, s-0, runs-11, state Muted Stable(07-19)->Muted Flaky(07-20)
ydb/core/blobstorage/ut_blobstorage/ut_group_reconfiguration GroupReconfigurationRace.Test_block42 # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-2, f-0,m-0, s-0, runs-2, state Muted Stable(07-19)->no_runs(07-20)->Muted Stable(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_huge HugeBlobOnlineSizeChange.Compaction # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-6, s-0, runs-15, state Muted Flaky(07-19)->Muted Stable(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_huge unittest.[0/10] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-6, s-0, runs-15, state Muted Flaky(07-19)->Muted Stable(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_scrub BlobScrubbing.block42 # owner TEAM:@ydb-platform/storage success_rate 0% (last 3 days) [2025-07-19:2025-07-21], p-0, f-0,m-3, s-0, runs-3, state Muted Flaky(07-19)->no_runs(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_scrub BlobScrubbing.mirror3dc # owner TEAM:@ydb-platform/storage success_rate 0% (last 3 days) [2025-07-19:2025-07-21], p-0, f-0,m-3, s-0, runs-3, state Muted Flaky(07-19)->no_runs(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_scrub BlobScrubbing.mirror3of4 # owner TEAM:@ydb-platform/storage success_rate 0% (last 3 days) [2025-07-19:2025-07-21], p-0, f-0,m-3, s-0, runs-3, state Muted Flaky(07-19)->no_runs(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_blobstorage/ut_statestorage TStateStorageRingGroupState.TestProxyConfigMismatch # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-8, f-0,m-3, s-0, runs-11, state Muted Stable(07-19)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_vdisk TBsLocalRecovery.WriteRestartReadHugeDecreased # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/ut_vdisk TBsVDiskGC.GCPutKeepBarrierSync # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-8, f-0,m-1, s-0, runs-9, state Muted Flaky(07-19)->Muted Stable(07-20)
ydb/core/blobstorage/ut_vdisk TBsVDiskManyPutGet.ManyPutRangeGetCompactionIndexOnly # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-6, f-0,m-3, s-0, runs-9, state Muted Flaky(07-19)->Muted Stable(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_vdisk unittest.[0/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/ut_vdisk unittest.[1/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/ut_vdisk unittest.[10/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/ut_vdisk unittest.[11/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-6, f-0,m-3, s-0, runs-9, state Muted Flaky(07-19)->Muted Stable(07-20)->Muted Flaky(07-21)
ydb/core/blobstorage/ut_vdisk unittest.[12/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/blobstorage/ut_vdisk unittest.[13/20] chunk # owner TEAM:@ydb-platform/storage success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
