Single Thread Sorting Time: 19027.5[ms]
Single Thread Speed: 506.214[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (3795440)   |              5156.66 |       311.76 |          245.65 |                   1.10 |                    0.42 |                      0.11 |                30.45 |                         1.06 |          5391.05 |             0.00 |
Node 2 (5370902)   |              5113.87 |       325.13 |          202.53 |                   1.11 |                 4549.64 |                      0.09 |                20.66 |                        11.69 |          5332.33 |             0.00 |
Node 3 (4163140)   |              5075.60 |       320.59 |          164.70 |                   1.13 |                 4553.97 |                      0.11 |                30.06 |                         2.23 |          5360.34 |             0.00 |
Node 4 (6219515)   |              5160.88 |       328.60 |          249.63 |                   1.09 |                 4546.66 |                      0.39 |                29.61 |                         0.97 |          5560.46 |             0.00 |
Node 5 (2125645)   |              5131.37 |       314.98 |          220.70 |                   1.11 |                 4559.85 |                      0.10 |                29.83 |                         3.17 |          5354.59 |             0.00 |
Node 6 (3667492)   |              5064.81 |       331.22 |          153.64 |                   1.11 |                 4543.78 |                      0.15 |                30.78 |                         0.01 |          5394.96 |             0.00 |
Node 7 (4237864)   |              5164.11 |       300.02 |          253.26 |                   1.16 |                 4574.54 |                      0.38 |                28.07 |                         2.87 |          5387.41 |             0.00 |
Node 8 (5178270)   |              5150.17 |       317.99 |          239.03 |                   1.11 |                 4557.01 |                      0.19 |                17.49 |                        14.44 |          5543.61 |             0.00 |
Node 9 (2523915)   |              5118.27 |       290.13 |          207.77 |                   1.09 |                 4584.52 |                      0.32 |                15.94 |                        15.63 |          5569.45 |             0.00 |
Node 10 (3458732)  |              5142.72 |       286.83 |          231.75 |                   1.11 |                 4588.02 |                      0.15 |                28.73 |                         3.51 |          5546.12 |             0.00 |
Node 11 (5094081)  |              5146.68 |       293.86 |          235.82 |                   1.12 |                 4581.37 |                      0.09 |                25.04 |                         7.15 |          5563.19 |             0.00 |
Node 12 (4165163)  |              5002.01 |       231.62 |           91.69 |                   1.11 |                 4643.41 |                      0.12 |                14.59 |                        16.42 |          5568.42 |             0.00 |
Node 13 (2575913)  |              5084.60 |      2228.36 |          174.00 |                   1.10 |                 2646.50 |                      0.03 |                 6.84 |                        25.85 |          5565.90 |             0.00 |
Node 14 (6659521)  |              5153.25 |      2002.94 |          242.96 |                   1.11 |                 2872.22 |                      0.03 |                 5.10 |                        27.40 |          5492.33 |             0.00 |
Node 15 (2850591)  |              5105.67 |      2016.10 |          195.40 |                   1.11 |                 2859.26 |                      0.03 |                17.97 |                        15.07 |          5326.38 |             0.00 |
Node 16 (4865220)  |              5108.53 |      2250.09 |          197.74 |                   1.11 |                 2625.28 |                      0.08 |                 6.25 |                        24.88 |          5556.85 |             0.00 |
Node 17 (4274138)  |              5122.02 |      4706.59 |          210.71 |                   1.11 |                  168.70 |                      0.03 |                 7.82 |                        25.36 |          5561.06 |             0.00 |
Node 18 (2127233)  |              5118.36 |      4830.34 |          207.08 |                   1.10 |                   44.73 |                      0.01 |                10.82 |                        22.05 |          5530.77 |             0.00 |
Node 19 (5987603)  |              5085.49 |      4722.65 |          175.04 |                   1.11 |                  152.47 |                      0.08 |                 8.47 |                        22.29 |          5566.35 |             0.00 |
Node 20 (3163219)  |              5061.75 |      4818.70 |          150.74 |                   1.13 |                   55.85 |                      0.08 |                12.84 |                        17.87 |          5369.31 |             0.00 |
Node 21 (3815210)  |              5002.38 |      4790.71 |           91.74 |                   1.11 |                   84.37 |                      0.02 |                 9.23 |                        22.54 |          5542.24 |             0.00 |
Node 22 (5333803)  |              5079.67 |      4874.90 |          168.58 |                   1.09 |                    0.53 |                      0.03 |                15.68 |                        16.37 |          5366.59 |             0.00 |
Node 23 (4162422)  |              4999.20 |      4825.33 |           87.92 |                   1.10 |                   49.50 |                      0.16 |                 9.19 |                        20.85 |          5555.89 |             0.00 |
Node 24 (4184990)  |              5077.64 |      1466.07 |          167.23 |                   1.10 |                 3408.98 |                      0.03 |                 2.22 |                        31.13 |          5562.72 |             0.00 |
=======================================================================================================================================================================================================================================================
Time max, ms       |              5164.11 |      4874.90 |          253.26 |                   1.16 |                 4643.41 |                      0.39 |                30.78 |                        31.13 |          5569.45 |             0.00 |
Speed, MB/s        |              1865.20 |        82.33 |         1611.75 |

