Single Thread Sorting Time: 6420.99[ms]
Single Thread Speed: 757.359[MB/s]

                     Distributed Sort, ms | MSD Sort, ms | Local Merge, ms | Local Partitioning, ms | Global Partitioning, ms | Buckets Determination, ms | Strings Exchange, ms | Strings Exchange Waiting, ms | Reading Data, ms | Writing Data, ms |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Node 1 (3145175)   |               810.50 |       328.91 |          432.05 |                   0.83 |                    0.21 |                      0.09 |                 3.92 |                        33.63 |          2768.49 |             0.00 |
Node 2 (3120860)   |               644.78 |       324.72 |          265.41 |                   1.57 |                   13.96 |                      0.22 |                 4.11 |                        31.96 |          2834.95 |             0.00 |
Node 3 (3130053)   |               828.40 |       338.80 |          448.83 |                   0.84 |                    0.22 |                      0.15 |                17.46 |                        18.85 |          2978.83 |             0.00 |
Node 4 (3121144)   |               831.46 |       220.00 |          452.05 |                   0.83 |                  119.31 |                      0.09 |                 3.16 |                        34.79 |          2866.47 |             0.00 |
Node 5 (3131251)   |               896.41 |       320.84 |          517.43 |                   0.84 |                   17.93 |                      0.09 |                17.25 |                        20.33 |          2934.14 |             0.00 |
Node 6 (3122030)   |               812.28 |       222.01 |          433.65 |                   0.84 |                  117.02 |                      0.11 |                17.65 |                        19.28 |          2982.67 |             0.00 |
Node 7 (3123740)   |               682.48 |       205.75 |          303.67 |                   0.85 |                  133.30 |                      0.10 |                19.48 |                        17.65 |          2972.12 |             0.00 |
Node 8 (3119430)   |               826.04 |       198.42 |          447.35 |                   0.88 |                  139.82 |                      0.16 |                 4.43 |                        32.31 |          2787.63 |             0.00 |
Node 9 (3117998)   |               817.17 |       327.89 |          438.63 |                   0.85 |                   11.02 |                      0.09 |                27.92 |                         9.33 |          2977.25 |             0.00 |
Node 10 (3126479)  |               905.07 |       193.29 |          525.96 |                   0.84 |                  144.83 |                      0.41 |                18.46 |                        17.41 |          2999.28 |             0.00 |
Node 11 (3121128)  |               878.94 |       336.38 |          499.90 |                   1.59 |                    1.85 |                      0.08 |                18.30 |                        17.47 |          2982.24 |             0.00 |
Node 12 (3124840)  |               636.86 |       194.43 |          258.15 |                   1.55 |                  143.49 |                      0.11 |                 5.10 |                        31.87 |          2833.62 |             0.00 |
Node 13 (3128656)  |               879.82 |       202.46 |          500.94 |                   0.85 |                  135.67 |                      0.46 |                19.28 |                        16.06 |          2988.33 |             0.00 |
Node 14 (3120258)  |               833.51 |       208.12 |          454.61 |                   0.83 |                  130.60 |                      0.10 |                21.00 |                        15.91 |          2960.09 |             0.00 |
Node 15 (3122523)  |               812.02 |       205.62 |          433.39 |                   0.83 |                  132.85 |                      0.39 |                 6.10 |                        29.40 |          2820.86 |             0.00 |
Node 16 (3124078)  |               678.66 |       209.93 |          299.72 |                   0.99 |                  128.19 |                      0.43 |                34.99 |                         0.01 |          2994.39 |             0.00 |
Node 17 (3122318)  |               682.80 |       309.13 |          303.44 |                   1.39 |                   29.62 |                      0.13 |                 7.04 |                        29.62 |          2757.22 |             0.00 |
Node 18 (3123431)  |               686.91 |       323.19 |          308.13 |                   0.86 |                   15.62 |                      0.22 |                18.40 |                        17.55 |          2969.11 |             0.00 |
Node 19 (3129180)  |               638.74 |       244.00 |          259.29 |                   0.85 |                   95.12 |                      0.10 |                 4.49 |                        32.32 |          2879.03 |             0.00 |
Node 20 (3118525)  |               824.02 |       251.10 |          444.77 |                   0.87 |                   88.04 |                      0.17 |                30.03 |                         7.34 |          2915.08 |             0.00 |
Node 21 (3120074)  |               888.49 |       259.27 |          509.65 |                   0.85 |                   78.97 |                      0.13 |                18.00 |                        18.47 |          2997.06 |             0.00 |
Node 22 (3120033)  |               640.23 |       330.90 |          261.03 |                   0.82 |                    8.41 |                      0.19 |                26.18 |                        10.92 |          2964.18 |             0.00 |
Node 23 (3119404)  |               684.93 |       261.52 |          305.42 |                   0.84 |                   76.69 |                      0.10 |                17.87 |                        19.46 |          2956.71 |             0.00 |
Node 24 (3131147)  |               838.86 |       162.83 |          460.03 |                   0.83 |                  175.38 |                      0.10 |                17.18 |                        18.76 |          2996.87 |             0.00 |
Node 25 (3120482)  |               681.44 |       299.68 |          302.97 |                   0.85 |                   39.53 |                      0.09 |                 4.06 |                        33.19 |          2870.69 |             0.00 |
Node 26 (3124181)  |               902.95 |       307.29 |          523.45 |                   1.68 |                   29.94 |                      0.10 |                 7.50 |                        28.96 |          2879.79 |             0.00 |
Node 27 (3128906)  |               680.18 |       196.54 |          300.60 |                   0.83 |                  141.86 |                      0.09 |                17.88 |                        19.20 |          2984.85 |             0.00 |
Node 28 (3118639)  |               689.72 |       256.56 |          310.61 |                   1.57 |                   80.82 |                      0.11 |                 2.38 |                        34.00 |          2851.74 |             0.00 |
Node 29 (3124419)  |               915.63 |       307.16 |          536.88 |                   2.21 |                   30.55 |                      0.16 |                19.51 |                        18.31 |          2958.69 |             0.00 |
Node 30 (3127279)  |               654.43 |       226.18 |          274.90 |                   0.84 |                  112.40 |                      0.23 |                17.47 |                        19.18 |          2978.94 |             0.00 |
Node 31 (3124782)  |               693.18 |       263.95 |          314.09 |                   0.82 |                   74.46 |                      0.47 |                26.65 |                         8.99 |          2974.82 |             0.00 |
Node 32 (3147557)  |               909.99 |       223.84 |          530.70 |                   0.84 |                  114.71 |                      0.19 |                35.54 |                         0.92 |          2976.84 |             0.00 |
=======================================================================================================================================================================================================================================================
Time max, ms       |               915.63 |       338.80 |          536.88 |                   2.21 |                  175.38 |                      0.47 |                35.54 |                        34.79 |          2999.28 |             0.00 |
