localLagging remote1Err remote2Err -> local remote1 remote2 failed || primLocal primR1 primR2 || total
       false          1          0 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          1 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          2 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          3 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          4 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          5 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          6 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          7 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          8 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1          9 ->   100       0       0      0 ||   100       0       0 ||   100
       false          1         10 ->   100       0       0      0 ||   100       0       0 ||   100
        true          1          0 ->     0      41      59      0 ||     0      44      56 ||   103
        true          1          1 ->     0      45      55      0 ||     0      44      56 ||   107
        true          1          2 ->     0      47      53      0 ||     0      44      56 ||   109
        true          1          3 ->     0      52      47      1 ||     0      44      56 ||   115
        true          1          4 ->     0      63      34      3 ||     0      49      51 ||   124
        true          1          5 ->     0      64      28      8 ||     0      49      51 ||   125
        true          1          6 ->     0      73      22      5 ||     0      58      42 ||   125
        true          1          7 ->     0      82      11      7 ||     0      68      32 ||   124
        true          1          8 ->     0      82      11      7 ||     0      68      32 ||   124
        true          1          9 ->     1      93       0      6 ||     0      95       5 ||   110
        true          1         10 ->     1      93       0      6 ||     0      95       5 ||   110
